participant_Id,step_type
1503960366,>10000
1624580081,5000 to 10000
1644430081,5000 to 10000
1844505072,1000 to 5000
1927972279,<1000
2022484408,>10000
2026352035,5000 to 10000
2320127002,1000 to 5000
2347167796,5000 to 10000
2873212765,5000 to 10000
3372868164,5000 to 10000
3977333714,>10000
4020332650,1000 to 5000
4057192912,1000 to 5000
4319703577,5000 to 10000
4388161847,>10000
4445114986,1000 to 5000
4558609924,5000 to 10000
4702921684,5000 to 10000
5553957443,5000 to 10000
5577150313,5000 to 10000
6117666160,5000 to 10000
6290855005,5000 to 10000
6775888955,1000 to 5000
6962181067,5000 to 10000
7007744171,>10000
7086361926,5000 to 10000
8053475328,>10000
8253242879,5000 to 10000
8378563200,5000 to 10000
8583815059,5000 to 10000
8792009665,1000 to 5000
8877689391,>10000
